item_no,name,diet_type,category,meal,ingredients,serving_size,calories,total fats(g),carb_type(g),total carbs(g),dietary fiber(g),total sugar(g),added sugar,proteins(g),sodium(mg),iodine,cholestrol (mg),vitamin b 
137,Egg Onion Omelette,Non-Veg,Poutlry,Breakfast,"salt,butter,milk,eggs,onion,swiss cheese,black pepper",356g,599,44,,14,1.5,5.3,,37,2198,,644,
138,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,,,
146,Roti,Veg,Bread,Lunch,"wheat flour, salt, water",40,120,3.7,,18,3.9,1.2,,3.1,119,,0,
147,Rice Roti,Veg,Bread,Lunch,"salt, oil, rice flour, water",62,93,2.6,,16,0.5,0,,1.2,98,,0,
148,Naan,Veg,Bread,Lunch,"all purpose flour, wheat flour, yoghurt",90,262,5.1,,45,2,3.2,,8.7,419,,0,
149,Ragi Roti,Veg,Bread,Lunch,"coconut, salt, cilantro, jalapeno, onion, vegetable oil, cumin, water, ragi flour",68,139,5.7,,20,1.1,1.2,,2.8,122,,0,
150,Tandoori Roti,Veg,Bread,Lunch,Flour,"1 piece (58 g)
 ",165,1,,32,4,1,0,6,458,,0,
151,Fulka Roti,Veg,Bread,Lunch,"whole wheat flour,Salt ,oil",2 pieces (68 g),190,5,,31,2,0,0,5,160,,0,
152,Rumali Roti,Veg,Bread,Lunch,"Wheat flour, refined flour, salt, oil ",60,160,4.5,,23,3,1,,5,290,,0,
153,Poori Bread (Indian Puffed Bread),Veg,Bread,Lunch,"Salt, Atta flour, Wheat Flour, Vegetable Oil",1 puri ,107,3.39,,6.82,1.7,0.08,0,2.71,247,,0,
154,Paratha,Veg,Bread,Lunch,"wheat flour, oil, salt",1 piece (79 g),258,10,,36,7.6,3.3,,5,357,,0,
155,Jowar Roti,Veg,Bread,Lunch,jowar flour and salt,100,348,2.32,,72.88,4.2,0.17,0,10.28,425,,0,
156,Ghee Chapati,Veg,Bread,Lunch,"wheat flour, ghee",56g,241,17,,20,4.2,1.3,,3.4,128,,33,
157,Bajra Roti,Veg,Bread,Lunch,"millet flour,",100,361,5.01,,66.8,8.7,0,,11.92,397,,0,
158,Lauki Sabji,Veg,Vegetable,Lunch,"salt,tomatoe,onion,oil,chili powder, turmeric,cumin seed,garam masala,  garlic paste,        calabash gourd",239,69,2.7,,11,3.3,2.5,,1.9,166,,0,
159,Aloo Gobi,Veg,Vegetable,Lunch,"salt, cauliflower, cilantro, peanut oil, potato, cumin, fresh ginger, turmeric, water, serrano pepper, coriander",155,111,5.5,,15,2.8,1.7,,2.5,230,,0,
160,Bhindi Fry,Veg,Vegetable,Lunch,"salt, tomato, cilantro, jalapeno, okra, onion, oil, cumin, chilli powder, turmeric, fenugreek, garam masala, coriander, dry mango powder, ginger garlic paste",186,196,17,,12,3.9,5.5,,2.9,260,,0,
161,Arbi Sabzi,Veg,Vegetable,Lunch,,100,110,2.94,,21.13,4.8,1.01,,2.13,310,,0,
162,Aloo Naan,Veg,Bread,Lunch,"cilantro, chili,potato,ginger,cumin,chili powder,paratha,masala",131g,300,11,,46,8.7,4.2,,6.1,370,,0.8,
163,Kulcha,Veg,Bread,Lunch,"salt,yogurt,flour, baking powder, baking soda,sugar,oil ,water",181g,524,21,,72,2.4,4.4,,10,673,,1,
164,Bhakri,Veg,Bread,Lunch,"salt, flour, oil, ghee, water",51g,157,7,,20,0.7,0.1,,2.8,338,,7,
165,Matar Paneer,Veg,Vegetable,Lunch,"tomato, garlic, green chilli, cumin, green peas, paneer, oil, garam masala, turmeric, ginger, chilli powder",440,599,46,,25,6.4,9.2,,23,1026,,69,
166,Palak Paneer,Veg,Vegetable,Lunch,"spinach,paneer, onion,fenugreek, garam masala,sugar,salt,oil,fresh ginger",1 cup(200g),366,30,,10,2.6,4.5,,15,871,,56,
167,Brown Bread,Veg,Bread,Lunch,-,29,77,0.9,,14,1.2,1.7,,51,147,,0,
168,Bharta,Veg,Vegetable,Lunch,"salt, tomato, garlic clove, cilantro, eggplant, jalapeno, onion, vegetable oil, lime juice, turmeric, garam masala",234,117,5.6,,17,4.8,7,,2.1,356,,0,
169,Chapati,Veg,Bread,Lunch,-,40,120,3.7,,18,3.9,1.2,,3.1,119,,0,
170,Methi aloo,Veg,Vegetable,Lunch,"fenugreek leaves,potatoes,green chilies ,mustard oil, asafoetida,salt ",100,141,10.4,,10.1,1.3,1.5,,2.7,404,,5,
171,Lauki sabzi,Veg,Vegetable,Lunch,"salt, tomato, onion, oil, chili powder, turmeric, cumin seed, garam masala, garlic paste, calabash gourd",239g,69,2.7,,11,3.3,2.5,,1.9,166,,0,
172,Shahi Paneer,Veg,Curry,Lunch,"salt, tomato, heavy cream, garlic clove, cilantro, onion, white sugar, oil, paneer, ground cumin, chili powder, ground turmeric, ground coriander, water",242g,310,25,,12,2.4,7.2,,12,555,,52,
173,Chicken Butter Masala,Non-Veg,gravy and poultry,Lunch,"chicken,salt,yogurt,peanut oil,butter,garlic,corn starch, onion,lemon juice,black pepper,cumin,chili powder,tomato puree,masala, cayenne pepper",240,355,23,,14,2,6.7,,23,251,,92,
174,Chilli Paneer,Veg,Vegetable,Lunch,"soy sauce,salt,salt,garlic,corn flour,corn flour,jalapeno,onion, sugar,vegetable oil,vinegar,ketchup,green pepper, paneer, green onion,chili powder,chili powder,chili sauce, water, water",233,366,27,,17,2.1,6.7,,15,1418,,49,
